modelo,categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
qwen2.5-7b-q8,reasoning,101,1,1,Imagine you are participating in a race with a group of people. If you have just,8.076923741630803e-06,8.076923741630804,3.320295104679241,0.004212318618240761,4.752416318333323,2.6873,32
qwen2.5-7b-q8,reasoning,101,1,2,Imagine you are participating in a race with a group of people. If you have just,8.024436332428411e-06,8.024436332428412,3.2744800132617584,0.0,4.749956319166653,2.684,32
qwen2.5-7b-q8,reasoning,101,1,3,Imagine you are participating in a race with a group of people. If you have just,8.102136995631095e-06,8.102136995631096,3.3385948772977034,0.0,4.76354211833339,2.7002,32
qwen2.5-7b-q8,reasoning,101,1,4,Imagine you are participating in a race with a group of people. If you have just,7.700806114164797e-06,7.700806114164797,2.906070175831466,0.0,4.794735938333332,2.7415,32
qwen2.5-7b-q8,reasoning,101,1,5,Imagine you are participating in a race with a group of people. If you have just,8.128209888547625e-06,8.128209888547625,3.3727539009845056,0.00044633506305546673,4.755009652500064,2.6901,32
qwen2.5-7b-q8,reasoning,101,1,6,Imagine you are participating in a race with a group of people. If you have just,7.934434741199966e-06,7.934434741199966,3.181305957033329,0.0,4.7531287841666385,2.6877,32
qwen2.5-7b-q8,reasoning,101,1,7,Imagine you are participating in a race with a group of people. If you have just,8.04322279889309e-06,8.04322279889309,3.283541507511263,0.003619207215277754,4.756062084166548,2.6917,32
qwen2.5-7b-q8,reasoning,101,1,8,Imagine you are participating in a race with a group of people. If you have just,7.720234460595469e-06,7.720234460595469,2.964230642262156,0.0,4.756003818333313,2.6912,32
qwen2.5-7b-q8,reasoning,101,1,9,Imagine you are participating in a race with a group of people. If you have just,7.73956547160269e-06,7.73956547160269,2.9747430476027477,0.004561728999999939,4.760260694999942,2.703,32
qwen2.5-7b-q8,reasoning,101,1,10,Imagine you are participating in a race with a group of people. If you have just,7.577855375977923e-06,7.577855375977923,2.8210657584779564,0.0,4.756789617499966,2.6923,32
qwen2.5-7b-q8,reasoning,101,1,11,Imagine you are participating in a race with a group of people. If you have just,8.00035710660442e-06,8.00035710660442,3.250132105771199,0.0,4.75022500083322,2.6843,32
qwen2.5-7b-q8,reasoning,101,1,12,Imagine you are participating in a race with a group of people. If you have just,7.879179284498733e-06,7.879179284498733,3.129445396165441,0.0,4.749733888333291,2.6837,32
qwen2.5-7b-q8,reasoning,101,1,13,Imagine you are participating in a race with a group of people. If you have just,8.31844121243493e-06,8.31844121243493,3.4431952391015948,0.0,4.875245973333335,2.8337,32
qwen2.5-7b-q8,reasoning,101,1,14,Imagine you are participating in a race with a group of people. If you have just,7.637885739058094e-06,7.637885739058094,2.890617300724764,0.0,4.7472684383333315,2.6887,32
qwen2.5-7b-q8,reasoning,101,1,15,Imagine you are participating in a race with a group of people. If you have just,7.6248784456454655e-06,7.624878445645465,2.8729121264787247,0.0,4.7519663191667405,2.6864,32
qwen2.5-7b-q8,reasoning,102,2,1,You can see a beautiful red house to your left and a hypnotic greenhouse to your,3.828739770398457e-05,38.28739770398457,8.624516557029791,23.631314271954782,6.031566874999991,9.9657,126
qwen2.5-7b-q8,reasoning,102,2,2,You can see a beautiful red house to your left and a hypnotic greenhouse to your,3.796688010038834e-05,37.966880100388344,8.277404656056001,23.672283188499062,6.017192255833285,9.9661,126
qwen2.5-7b-q8,reasoning,102,2,3,You can see a beautiful red house to your left and a hypnotic greenhouse to your,3.760258796802632e-05,37.60258796802632,8.050551795328438,23.544315966031295,6.00772020666658,9.9706,126
qwen2.5-7b-q8,reasoning,102,2,4,You can see a beautiful red house to your left and a hypnotic greenhouse to your,3.874627067928022e-05,38.746270679280215,8.630200724272505,23.66893196834098,6.447137986666717,10.4357,126
qwen2.5-7b-q8,reasoning,102,2,5,You can see a beautiful red house to your left and a hypnotic greenhouse to your,3.790048298727214e-05,37.90048298727214,8.27481607431747,23.537461323787998,6.088205589166666,10.0361,126
qwen2.5-7b-q8,reasoning,102,2,6,You can see a beautiful red house to your left and a hypnotic greenhouse to your,3.754322593699161e-05,37.54322593699161,7.860080246874234,23.691842010117426,5.991303679999949,9.9651,126
qwen2.5-7b-q8,reasoning,102,2,7,You can see a beautiful red house to your left and a hypnotic greenhouse to your,3.792023805070996e-05,37.92023805070996,8.076195646029912,23.849537577179987,5.994504827500055,9.9553,126
qwen2.5-7b-q8,reasoning,102,2,8,You can see a beautiful red house to your left and a hypnotic greenhouse to your,3.8485169654596004e-05,38.48516965459601,7.865659693919359,24.551310273176618,6.068199687500027,10.0373,126
