modelo,categoria,prompt_id,prompt_num,repeticion,prompt_texto_corto,measured_energy_kwh,measured_energy_mwh,cpu_energy_mwh,gpu_energy_mwh,ram_energy_mwh,inference_time_s,completion_tokens
qwen2.5-7b-q8,coding,121,1,1,Develop a Python program that reads all the text files under a directory and ret,0.0001230678365186084,123.0678365186084,17.316271210548642,92.4288335722264,13.322731735833367,43.873,486
qwen2.5-7b-q8,coding,121,1,2,Develop a Python program that reads all the text files under a directory and ret,0.0001241581077192606,124.1581077192606,17.020708336269497,93.68039215882433,13.457007224166658,43.9358,486
qwen2.5-7b-q8,coding,121,1,3,Develop a Python program that reads all the text files under a directory and ret,0.00012271646515583378,122.71646515583379,17.14553846318505,92.35233023431556,13.218596458333135,43.8407,486
qwen2.5-7b-q8,coding,121,1,4,Develop a Python program that reads all the text files under a directory and ret,0.00012621880137923957,126.21880137923957,17.668799737338794,95.587332649401,12.962668992499765,44.3479,486
qwen2.5-7b-q8,coding,121,1,5,Develop a Python program that reads all the text files under a directory and ret,0.000122813668129901,122.813668129901,16.661755506997086,93.41640915540384,12.735503467499996,43.6995,486
qwen2.5-7b-q8,coding,121,1,6,Develop a Python program that reads all the text files under a directory and ret,0.00012307608090082276,123.07608090082276,16.112164764682053,93.96362404947398,13.00029208666672,43.0666,486
qwen2.5-7b-q8,coding,121,1,7,Develop a Python program that reads all the text files under a directory and ret,0.00012199066092255734,121.99066092255734,15.57774074776092,93.75395294979567,12.658967225000783,42.9376,486
qwen2.5-7b-q8,coding,121,1,8,Develop a Python program that reads all the text files under a directory and ret,0.00012535868335651035,125.35868335651035,15.828694595257334,96.78601927791989,12.743969483333142,43.0438,486
qwen2.5-7b-q8,coding,121,1,9,Develop a Python program that reads all the text files under a directory and ret,0.00012597745335961904,125.97745335961905,17.24040246159021,96.12374121052903,12.613309687499832,43.765,486
qwen2.5-7b-q8,coding,121,1,10,Develop a Python program that reads all the text files under a directory and ret,0.00012456550716539094,124.56550716539094,16.088165813501956,95.58046545105591,12.896875900833132,43.041,486
qwen2.5-7b-q8,coding,121,1,11,Develop a Python program that reads all the text files under a directory and ret,0.00012583243470480293,125.83243470480292,16.49410258743525,96.90558156070128,12.43275055666639,43.5573,486
qwen2.5-7b-q8,coding,121,1,12,Develop a Python program that reads all the text files under a directory and ret,0.00012450808695746551,124.50808695746551,16.184270450010256,95.83844011578839,12.485376391666799,43.415,486
qwen2.5-7b-q8,coding,121,1,13,Develop a Python program that reads all the text files under a directory and ret,0.00012796459763465603,127.96459763465603,17.105107220483355,98.02659586500623,12.832894549166463,43.8166,486
qwen2.5-7b-q8,coding,121,1,14,Develop a Python program that reads all the text files under a directory and ret,0.00012626652954038627,126.26652954038627,17.04052056334581,96.7310975903737,12.49491138666684,43.5564,486
qwen2.5-7b-q8,coding,121,1,15,Develop a Python program that reads all the text files under a directory and ret,0.00012701861930386485,127.01861930386485,16.499208637619695,98.5424338987446,11.976976767500489,43.151,486
qwen2.5-7b-q8,coding,122,2,1,Write a C++ program to find the nth Fibonacci number using recursion.,0.000102776893733154,102.77689373315401,14.690258379150245,77.26598542400382,10.820649929999886,33.6556,384
qwen2.5-7b-q8,coding,122,2,2,Write a C++ program to find the nth Fibonacci number using recursion.,0.00010296193806518685,102.96193806518686,14.08277444046449,77.79162716388886,11.087536460833487,33.8331,384
qwen2.5-7b-q8,coding,122,2,3,Write a C++ program to find the nth Fibonacci number using recursion.,0.00010506591692782184,105.06591692782183,14.224510008912032,80.21909309974222,10.622313819167557,34.2201,384
qwen2.5-7b-q8,coding,122,2,4,Write a C++ program to find the nth Fibonacci number using recursion.,0.00010391324114046264,103.91324114046265,13.996832478552578,79.52781897440906,10.388589687501055,34.0297,384
qwen2.5-7b-q8,coding,122,2,5,Write a C++ program to find the nth Fibonacci number using recursion.,0.00010348406851924635,103.48406851924635,14.17891393499608,78.71280604675056,10.592348537499749,34.2024,384
qwen2.5-7b-q8,coding,122,2,6,Write a C++ program to find the nth Fibonacci number using recursion.,0.0001051355185220888,105.13551852208879,13.853350541304057,80.60057909161674,10.681588889167987,34.3201,384
qwen2.5-7b-q8,coding,122,2,7,Write a C++ program to find the nth Fibonacci number using recursion.,0.00010270525300235751,102.70525300235751,14.468043421840756,77.28617544801618,10.951034132500581,33.7316,384
qwen2.5-7b-q8,coding,122,2,8,Write a C++ program to find the nth Fibonacci number using recursion.,0.00010403258063521811,104.03258063521811,14.034383278244519,79.69243051447381,10.305766842499793,34.034,384
qwen2.5-7b-q8,coding,122,2,9,Write a C++ program to find the nth Fibonacci number using recursion.,0.00010343733369414497,103.43733369414497,14.190242566120629,78.09033213635834,11.156758991666035,33.8877,384
qwen2.5-7b-q8,coding,122,2,10,Write a C++ program to find the nth Fibonacci number using recursion.,0.00010157784078633271,101.5778407863327,13.181376323658593,77.67155015850794,10.724914304166193,33.7435,384
qwen2.5-7b-q8,coding,122,2,11,Write a C++ program to find the nth Fibonacci number using recursion.,0.0001020490077125648,102.0490077125648,13.506032427380797,77.93375413851746,10.609221146666528,32.9031,384
qwen2.5-7b-q8,coding,122,2,12,Write a C++ program to find the nth Fibonacci number using recursion.,0.00010210354826026097,102.10354826026096,13.73560982761003,77.92469426265093,10.443244170000034,33.4495,384
qwen2.5-7b-q8,coding,122,2,13,Write a C++ program to find the nth Fibonacci number using recursion.,0.0001028103621774123,102.8103621774123,14.243254539125962,77.42802045245301,11.139087185833317,33.9142,384
qwen2.5-7b-q8,coding,122,2,14,Write a C++ program to find the nth Fibonacci number using recursion.,0.00010334117954242395,103.34117954242394,13.76666834314503,79.23066953261214,10.343841666666739,34.179,384
qwen2.5-7b-q8,coding,122,2,15,Write a C++ program to find the nth Fibonacci number using recursion.,0.00010265773143911941,102.65773143911942,14.006546608643289,77.88751101047663,10.763673819999438,33.7931,384
qwen2.5-7b-q8,coding,123,3,1,"Write a simple website in HTML. When a user clicks the button, it shows a random",0.0001364323834944753,136.4323834944753,16.475072244621273,107.43822948068717,12.51908176916686,46.5462,524
qwen2.5-7b-q8,coding,123,3,2,"Write a simple website in HTML. When a user clicks the button, it shows a random",0.0001322519469942967,132.2519469942967,16.33048919216857,103.42748814962782,12.493969652500335,45.7902,524
qwen2.5-7b-q8,coding,123,3,3,"Write a simple website in HTML. When a user clicks the button, it shows a random",0.00013447064651962509,134.4706465196251,15.150690493393151,107.52458849206432,11.795367534167553,46.1645,524
qwen2.5-7b-q8,coding,123,3,4,"Write a simple website in HTML. When a user clicks the button, it shows a random",0.00013587343343333824,135.87343343333825,16.25395215788408,107.15901266378684,12.46046861166728,46.5776,524
